id_mutation,date_mutation,annee,valeur_fonciere,surface_reelle_bati,type_local,code_commune,nom_commune,longitude,latitude,prix_m2
2021-592128,2021-02-15,2021,205300.0,86.0,Maison,35206,Noyal-Châtillon-sur-Seiche,-1.665255,48.033554,2387.2093023255816
2021-592129,2021-02-11,2021,114200.0,52.0,Appartement,35208,Orgères,-1.666279,47.994068,2196.153846153846
2021-592130,2021-02-01,2021,224000.0,70.0,Appartement,35238,Rennes,-1.695749,48.111428,3200.0
2021-592133,2021-01-21,2021,215000.0,51.0,Appartement,35238,Rennes,-1.68149,48.122902,4215.686274509804
2021-592135,2021-02-11,2021,195000.0,76.0,Appartement,35238,Rennes,-1.6838,48.088157,2565.7894736842104
2021-592136,2021-02-12,2021,159000.0,61.0,Appartement,35055,Chantepie,-1.623444,48.091026,2606.55737704918
2021-592138,2021-02-03,2021,308000.0,85.0,Maison,35051,Cesson-Sévigné,-1.578744,48.116604,3623.529411764706
2021-592139,2021-02-08,2021,192000.0,59.0,Appartement,35206,Noyal-Châtillon-sur-Seiche,-1.667164,48.038995,3254.237288135593
2021-592140,2021-02-01,2021,145000.0,43.0,Appartement,35238,Rennes,-1.694211,48.112369,3372.093023255814
2021-592141,2021-01-19,2021,162000.0,62.0,Appartement,35206,Noyal-Châtillon-sur-Seiche,-1.665764,48.03345,2612.9032258064517
2021-592142,2021-02-04,2021,175000.0,48.0,Appartement,35238,Rennes,-1.683276,48.100713,3645.8333333333335
2021-592144,2021-02-03,2021,196000.0,63.0,Appartement,35238,Rennes,-1.676698,48.092368,3111.1111111111113
2021-592145,2021-02-08,2021,640000.0,127.0,Maison,35363,Pont-Péan,-1.703576,48.014121,5039.370078740158
2021-592146,2021-02-10,2021,146000.0,48.0,Appartement,35353,Vezin-le-Coquet,-1.758561,48.120452,3041.6666666666665
2021-592147,2021-02-01,2021,221720.0,67.0,Appartement,35238,Rennes,-1.711176,48.101317,3309.2537313432836
2021-592148,2021-02-03,2021,95000.0,33.0,Appartement,35238,Rennes,-1.682932,48.089186,2878.787878787879
